N03_007_2,N03_001,N03_003,N03_004,TAC1,samples1,TAC2,samples2,TAC3,samples3
01101,北海道,札幌市,中央区,1026,147,1,0,38280,0
01102,北海道,札幌市,北区,1026,118,1027,1,1,0
01103,北海道,札幌市,東区,1026,139,8229,3,64288,1
01104,北海道,札幌市,白石区,1026,99,1,0,38280,0
01105,北海道,札幌市,豊平区,1026,85,1,0,38280,0
01106,北海道,札幌市,南区,1026,80,1,0,38280,0
01107,北海道,札幌市,西区,1026,92,12416,3,8240,1
01108,北海道,札幌市,厚別区,1026,64,1027,3,1,0
01109,北海道,札幌市,手稲区,1026,64,1027,2,12448,1
01110,北海道,札幌市,清田区,1026,60,1,0,38280,0
01202,北海道,,函館市,1025,69,1,0,38280,0
01203,北海道,,小樽市,1025,82,1026,2,1,0
01204,北海道,,旭川市,1028,213,1,0,38280,0
01205,北海道,,室蘭市,1025,45,1,0,38280,0
01206,北海道,,釧路市,1029,48,1,0,38280,0
01207,北海道,,帯広市,1029,73,1,0,38280,0
01208,北海道,,北見市,1029,36,8238,1,38282,0
01209,北海道,,夕張市,1028,14,1,0,38280,0
01210,北海道,,岩見沢市,1027,73,1,0,38280,0
01211,北海道,,網走市,1029,28,1,0,38280,0
01212,北海道,,留萌市,1028,19,1,0,38280,0
01213,北海道,,苫小牧市,1027,181,8235,1,8212,1
01214,北海道,,稚内市,1028,31,1,0,38280,0
01215,北海道,,美唄市,1027,20,64288,1,38152,0
01216,北海道,,芦別市,1028,15,1027,2,1,0
01217,北海道,,江別市,1027,82,1026,2,1,0
01218,北海道,,赤平市,1027,14,1,0,38280,0
01219,北海道,,紋別市,1028,25,1,0,38280,0
01220,北海道,,士別市,1028,22,12452,1,1,0
01221,北海道,,名寄市,1028,20,1,0,38280,0
01222,北海道,,三笠市,1027,23,1,0,38280,0
01224,北海道,,千歳市,1027,113,1,0,38280,0
01225,北海道,,滝川市,1027,26,1,0,38280,0
01226,北海道,,砂川市,1027,21,1,0,38280,0
01227,北海道,,歌志内市,1027,9,1,0,38280,0
01228,北海道,,深川市,1028,17,1,0,38280,0
01229,北海道,,富良野市,1028,13,1,0,38280,0
01230,北海道,,登別市,1025,55,1,0,38280,0
01231,北海道,,恵庭市,1027,69,1,0,38280,0
01233,北海道,,伊達市,1025,23,1,0,38280,0
01234,北海道,,北広島市,1027,74,8212,3,1026,1
01235,北海道,,石狩市,1027,55,8242,2,1026,2
01236,北海道,,北斗市,1025,30,1,0,38280,0
01303,北海道,石狩郡,当別町,1027,30,1026,2,48910,1
01304,北海道,石狩郡,新篠津村,1027,3,1,0,38280,0
01331,北海道,松前郡,松前町,1025,8,1,0,38280,0
